ID,Name,Description,Price,Level,ItemType,StatType0,StatModifierFixed0,StatType1,StatModifierFixed1,StatType2,StatModifierFixed2
36,무기 6단계,강력한 검,770,6,Weapon,AttackPower,90,LifeSteel,6,,
37,무기 7단계,강력한 검,890,7,Weapon,AttackPower,105,LifeSteel,7,,
38,무기 8단계,강력한 검,1010,8,Weapon,AttackPower,120,LifeSteel,8,,
39,무기 9단계,강력한 검,1130,9,Weapon,AttackPower,135,LifeSteel,9,,
40,무기 10단계,강력한 검,1250,10,Weapon,AttackPower,150,LifeSteel,10,,
41,바지 1단계,편안한 바지,170,1,Pants,Defense,5,Health,5,,
42,바지 2단계,편안한 바지,290,2,Pants,Defense,10,Health,10,,
43,바지 3단계,편안한 바지,410,3,Pants,Defense,15,Health,15,,
44,바지 4단계,편안한 바지,530,4,Pants,Defense,20,Health,20,,
45,바지 5단계,편안한 바지,650,5,Pants,Defense,25,Health,25,,
46,바지 6단계,편안한 바지,770,6,Pants,Defense,30,Health,30,,
47,바지 7단계,편안한 바지,890,7,Pants,Defense,35,Health,35,,
48,바지 8단계,편안한 바지,1010,8,Pants,Defense,40,Health,40,,
49,바지 9단계,편안한 바지,1130,9,Pants,Defense,45,Health,45,,
50,바지 10단계,편안한 바지,1250,10,Pants,Defense,50,Health,50,,
51,잡다한 신발 1단계,하이브리드 신발,150,1,Boots,Speed,0.2,RunSpeed,0.3,Defense,5
52,잡다한 신발 2단계,하이브리드 신발,250,2,Boots,Speed,0.4,RunSpeed,0.6,Defense,10
53,잡다한 신발 3단계,하이브리드 신발,350,3,Boots,Speed,0.6,RunSpeed,0.9,Defense,15
54,잡다한 신발 4단계,하이브리드 신발,450,4,Boots,Speed,0.8,RunSpeed,1.2,Defense,20
55,잡다한 신발 5단계,하이브리드 신발,550,5,Boots,Speed,1,RunSpeed,1.5,Defense,25
56,잡다한 신발 6단계,하이브리드 신발,650,6,Boots,Speed,1.2,RunSpeed,1.8,Defense,30
57,잡다한 신발 7단계,하이브리드 신발,750,7,Boots,Speed,1.4,RunSpeed,2.1,Defense,35
58,잡다한 신발 8단계,하이브리드 신발,850,8,Boots,Speed,1.6,RunSpeed,2.4,Defense,40
59,잡다한 신발 9단계,하이브리드 신발,950,9,Boots,Speed,1.8,RunSpeed,2.7,Defense,45
60,잡다한 신발 10단계,하이브리드 신발,1050,10,Boots,Speed,2,RunSpeed,3,Defense,50
61,투구 1단계,튼튼한 투구,150,1,Helmet,Health,15,Defense,5,,
62,투구 2단계,튼튼한 투구,250,2,Helmet,Health,30,Defense,10,,
63,투구 3단계,튼튼한 투구,350,3,Helmet,Health,45,Defense,15,,
64,투구 4단계,튼튼한 투구,450,4,Helmet,Health,60,Defense,20,,
65,투구 5단계,튼튼한 투구,550,5,Helmet,Health,75,Defense,25,,
66,투구 6단계,튼튼한 투구,650,6,Helmet,Health,90,Defense,30,,
67,투구 7단계,튼튼한 투구,750,7,Helmet,Health,105,Defense,35,,
68,투구 8단계,튼튼한 투구,850,8,Helmet,Health,120,Defense,40,,
69,투구 9단계,튼튼한 투구,950,9,Helmet,Health,135,Defense,45,,
70,투구 10단계,튼튼한 투구,1050,10,Helmet,Health,150,Defense,50,,
71,굴절된 어깨보호구 1단계,굴절된 어깨보호구,200,1,Shoulder,Defense,55,Mana,20,,
72,굴절된 어깨보호구 2단계,굴절된 어깨보호구,350,2,Shoulder,Defense,60,Mana,40,,
73,굴절된 어깨보호구 3단계,굴절된 어깨보호구,500,3,Shoulder,Defense,65,Mana,60,,
74,굴절된 어깨보호구 4단계,굴절된 어깨보호구,650,4,Shoulder,Defense,70,Mana,80,,
75,굴절된 어깨보호구 5단계,굴절된 어깨보호구,800,5,Shoulder,Defense,75,Mana,100,,
76,굴절된 어깨보호구 6단계,굴절된 어깨보호구,950,6,Shoulder,Defense,80,Mana,120,,
77,굴절된 어깨보호구 7단계,굴절된 어깨보호구,1100,7,Shoulder,Defense,85,Mana,140,,
78,굴절된 어깨보호구 8단계,굴절된 어깨보호구,1250,8,Shoulder,Defense,90,Mana,160,,
79,굴절된 어깨보호구 9단계,굴절된 어깨보호구,1400,9,Shoulder,Defense,95,Mana,180,,
80,굴절된 어깨보호구 10단계,굴절된 어깨보호구,1550,10,Shoulder,Defense,100,Mana,200,,
81,마갑옷 1단계,마갑옷,170,1,Armor,Defense,5,Mana,100,,
82,마갑옷 2단계,마갑옷,290,2,Armor,Defense,10,Mana,150,,
83,마갑옷 3단계,마갑옷,410,3,Armor,Defense,15,Mana,200,,
84,마갑옷 4단계,마갑옷,530,4,Armor,Defense,20,Mana,250,,
85,마갑옷 5단계,마갑옷,650,5,Armor,Defense,25,Mana,300,,
86,마갑옷 6단계,마갑옷,770,6,Armor,Defense,30,Mana,350,,
87,마갑옷 7단계,마갑옷,890,7,Armor,Defense,35,Mana,400,,
88,마갑옷 8단계,마갑옷,1010,8,Armor,Defense,40,Mana,450,,
89,마갑옷 9단계,마갑옷,1130,9,Armor,Defense,45,Mana,500,,
90,마갑옷 10단계,마갑옷,1250,10,Armor,Defense,50,Mana,550,,
91,빠른 신발 1단계,빠른 신발,150,1,Boots,Speed,0.4,RunSpeed,0.6,,
92,빠른 신발 2단계,빠른 신발,250,2,Boots,Speed,0.8,RunSpeed,1.2,,
93,빠른 신발 3단계,빠른 신발,350,3,Boots,Speed,1.2,RunSpeed,1.8,,
94,빠른 신발 4단계,빠른 신발,450,4,Boots,Speed,1.6,RunSpeed,2.4,,
95,빠른 신발 5단계,빠른 신발,550,5,Boots,Speed,2,RunSpeed,3,,
96,빠른 신발 6단계,빠른 신발,650,6,Boots,Speed,2.4,RunSpeed,3.6,,
97,빠른 신발 7단계,빠른 신발,750,7,Boots,Speed,2.8,RunSpeed,4.2,,
98,빠른 신발 8단계,빠른 신발,850,8,Boots,Speed,3.2,RunSpeed,4.8,,
99,빠른 신발 9단계,빠른 신발,950,9,Boots,Speed,3.6,RunSpeed,5.4,,
100,빠른 신발 10단계,빠른 신발,1050,10,Boots,Speed,4,RunSpeed,6,,
